Temperatura_[°C],Humedad_relativa_[%],Precipitación_[mm],Velocidad_viento_[km/h],FWI,Riesgo
6.9230003,71.0,0.2,28.58545,22.163333312988282,Moderado
7.073,69.0,0.1,28.1169,27.104787269592286,Alto
7.7229996,64.0,0.0,29.301876,28.4891121673584,Alto
7.873,64.0,0.3,33.626774,26.281546356201176,Alto
10.073,55.0,0.2,30.699368,25.56389668273926,Alto
10.573,52.0,0.1,34.417206,33.33618453979492,Muy alto
10.172999,57.0,0.7,37.19342,29.51486671447754,Alto
10.723,58.0,0.5,35.97299,28.637308334350585,Alto
11.273,51.0,0.2,33.481937,27.8854716796875,Alto
10.623,48.0,0.4,33.40055,28.155858749389647,Alto
11.323,40.0,0.0,36.115017,35.88157490539551,Muy alto
10.773,40.0,0.2,36.115017,30.855174896240236,Alto
10.523,39.0,0.1,36.764088,36.37917645263672,Muy alto
9.422999,42.0,0.1,36.088093,35.537035736083986,Muy alto
8.672999,46.0,0.0,34.651752,34.10403256225587,Muy alto
7.773,48.0,0.0,33.121956,32.83964356994629,Muy alto
6.373,54.0,0.0,32.04202,31.368964172363285,Alto
5.523,57.0,0.0,30.735231,30.132593009948728,Alto
5.1730003,60.0,0.0,29.237675,28.79736653137207,Alto
4.873,64.0,0.0,30.36403,29.03633986663818,Alto
4.6730003,67.0,0.0,31.427404,29.3575524520874,Alto
4.573,69.0,0.0,30.955812,28.813047218322758,Alto
5.023,72.0,0.0,28.817993,27.10389158630371,Alto
5.123,70.0,0.0,30.147717,28.201033447265623,Alto
5.2229996,70.0,0.0,30.430117,28.387699104309082,Alto
5.4729996,69.0,0.0,30.718357,28.703325942993164,Alto
6.2229996,66.0,0.0,36.93291,33.095498611450196,Muy alto
6.773,63.0,0.1,40.78182,35.95459503173828,Muy alto
8.323,56.0,0.0,37.97104,35.04485299682617,Muy alto
8.723,56.0,0.1,38.687855,35.52568244934082,Muy alto
9.672999,53.0,0.0,37.612675,35.23286648559571,Muy alto
9.873,51.0,0.0,38.2973,35.919364196777344,Muy alto
10.172999,53.0,0.1,38.268524,35.6792335357666,Muy alto
10.573,53.0,0.1,36.44722,34.52551358032227,Muy alto
10.873,51.0,0.0,38.921646,36.36944410705566,Muy alto
10.672999,54.0,0.0,35.728977,33.94976528930664,Muy alto
10.873,53.0,0.0,34.247337,33.123189254760746,Muy alto
10.573,53.0,0.0,33.510952,32.63455708312988,Muy alto
10.323,52.0,0.0,32.09052,31.825798202514648,Alto
9.922999,51.0,0.0,29.598919,30.320007751464846,Alto
9.223,52.0,0.0,27.722336,28.959888244628907,Alto
8.373,57.0,0.0,23.893261,25.863164062499997,Alto
7.773,59.0,0.0,21.434364,24.014834609985353,Alto
7.323,62.0,0.0,19.734436,22.54448080444336,Moderado
6.6730003,66.0,0.0,18.899143,21.503352249145507,Moderado
