Temperatura_[°C],Humedad_relativa_[%],Precipitación_[mm],Velocidad_viento_[km/h],Riesgo
6.9230003,53.0,0.0,27.059933,Alto
7.4729996,50.0,0.3,28.808998,Alto
8.123,51.0,0.3,28.449112,Alto
8.873,47.0,0.1,28.8,Alto
9.273,44.0,0.1,29.16889,Alto
9.623,44.0,0.1,28.460497,Alto
9.922999,42.0,0.1,26.28986,Alto
9.922999,43.0,0.2,25.325686,Moderado
9.672999,43.0,0.1,24.336637,Alto
9.123,44.0,0.0,24.087738,Alto
8.273,46.0,0.0,22.461807,Alto
7.273,48.0,0.0,21.791153,Alto
6.023,55.0,0.0,19.813087,Moderado
4.873,62.0,0.0,16.215992,Moderado
4.1730003,65.0,0.0,14.512064,Moderado
3.423,69.0,0.0,14.759999,Moderado
2.823,74.0,0.0,14.494192,Moderado
2.273,77.0,0.0,14.145756,Moderado
1.873,79.0,0.0,14.759999,Moderado
1.673,79.0,0.0,14.408997,Moderado
1.673,79.0,0.0,14.759999,Moderado
2.073,77.0,0.0,15.745627,Moderado
3.373,69.0,0.0,20.957443,Moderado
4.6730003,59.0,0.0,24.522316,Alto
5.9230003,54.0,0.0,26.121714,Alto
6.7229996,53.0,0.1,25.630886,Alto
7.523,49.0,0.2,26.554728,Moderado
8.323,42.0,0.1,28.357857,Alto
8.623,41.0,0.1,30.551254,Muy alto
8.922999,39.0,0.0,30.962091,Muy alto
9.123,36.0,0.0,32.385994,Muy alto
8.973,36.0,0.0,31.716797,Muy alto
8.723,36.0,0.0,30.589407,Muy alto
8.073,37.0,0.0,29.144442,Alto
7.373,39.0,0.0,27.381308,Alto
6.4230003,43.0,0.0,25.40743,Alto
4.9729996,48.0,0.0,23.688984,Alto
3.923,54.0,0.0,20.008356,Moderado
3.223,61.0,0.0,17.673029,Moderado
2.573,67.0,0.0,17.114204,Moderado
2.023,74.0,0.0,19.137648,Moderado
1.823,76.0,0.0,19.9954,Moderado
1.423,74.0,0.0,18.161278,Moderado
1.123,76.0,0.0,18.0,Moderado
1.023,80.0,0.0,18.25026,Moderado
1.523,79.0,0.0,19.64558,Moderado
2.923,70.0,0.0,22.668568,Moderado
4.4230003,60.0,0.0,26.341572,Alto
5.9230003,51.0,0.0,28.227306,Alto
6.9729996,47.0,0.0,27.908709,Alto
8.023,44.0,0.0,28.266306,Alto
8.922999,39.0,0.0,28.71437,Alto
9.523,37.0,0.0,28.467329,Alto
10.422999,35.0,0.0,27.402597,Alto
10.973,34.0,0.0,25.099514,Alto
11.273,35.0,0.0,22.963936,Alto
11.172999,37.0,0.0,21.188072,Alto
10.773,38.0,0.0,19.416653,Alto
10.073,41.0,0.0,17.727943,Moderado
9.123,42.0,0.0,15.725037,Moderado
8.023,44.0,0.0,15.175612,Moderado
6.273,53.0,0.0,9.83268,Moderado
4.823,63.0,0.0,7.072878,Bajo
3.573,71.0,0.0,6.130579,Bajo
2.623,77.0,0.0,6.162207,Bajo
1.923,81.0,0.0,5.3999996,Bajo
1.123,87.0,0.0,4.379589,Bajo
0.723,89.0,0.0,3.6,Bajo
0.273,92.0,0.0,2.968636,Bajo
0.473,91.0,0.0,2.5455842,Bajo
2.623,83.0,0.0,1.9386592,Bajo
5.4729996,65.0,0.0,2.7416782,Bajo
7.273,60.0,0.0,0.8049845,Bajo
8.373,53.0,0.0,2.16,Bajo
9.273,48.0,0.0,4.73506,Bajo
9.922999,45.0,0.0,6.9899354,Moderado
10.473,43.0,0.0,8.707238,Moderado
11.073,44.0,0.0,9.0645685,Moderado
11.672999,42.0,0.0,9.360001,Moderado
12.073,41.0,0.0,10.144082,Moderado
12.123,40.0,0.0,10.144082,Moderado
12.123,42.0,0.0,10.1887,Moderado
11.973,42.0,0.0,10.233123,Moderado
11.623,43.0,0.0,9.686609,Moderado
10.672999,50.0,0.0,5.8603754,Moderado
9.223,61.0,0.0,3.219938,Bajo
8.223,67.0,0.0,4.3498964,Bajo
6.873,71.0,0.0,6.3690495,Bajo
5.823,71.0,0.0,8.161764,Bajo
5.373,80.0,0.0,7.386582,Bajo
5.4729996,88.0,0.0,9.504273,Bajo
5.7229996,87.0,0.0,9.178235,Bajo
5.623,84.0,0.0,10.636766,Bajo
5.4230003,85.0,0.2,10.948973,Bajo
5.323,85.0,0.3,10.383987,Bajo
